Date,0,1,2,3,4,Total
01/01/2011,16,12,17,28,,73
01/02/2011,19,11,13,16,,59
01/03/2011,13,6,16,9,,44
01/04/2011,10,3,14,9,,36
01/05/2011,10,9,11,24,,54
01/06/2011,14,11,13,7,,45
01/07/2011,17,5,17,12,,51
01/08/2011,14,4,8,12,,38
01/09/2011,7,7,15,16,,45
01/10/2011,13,7,9,12,,41
01/11/2011,19,6,18,9,,52
01/12/2011,11,6,3,3,,23
01/13/2011,7,7,11,8,,33
01/14/2011,11,2,6,10,,29
01/15/2011,16,7,15,12,,50
01/16/2011,11,3,10,20,,44
01/17/2011,15,9,9,14,,47
01/18/2011,13,8,10,13,,44
01/19/2011,13,7,19,11,,50
01/20/2011,12,4,7,10,,33
01/21/2011,8,5,8,14,,35
01/22/2011,13,7,12,14,,46
01/23/2011,15,4,13,12,,44
01/24/2011,12,5,5,8,,30
01/25/2011,11,4,8,10,,33
01/26/2011,13,5,10,15,,43
01/27/2011,13,9,11,6,,39
01/28/2011,8,7,12,18,,45
01/29/2011,19,10,10,15,,54
01/30/2011,21,6,14,20,,61
01/31/2011,18,11,17,10,,56
02/01/2011,18,6,14,11,,49
02/02/2011,19,9,18,16,,62
02/03/2011,12,12,21,11,,56
02/04/2011,18,6,10,11,,45
02/05/2011,16,4,18,19,,57
02/06/2011,13,12,7,14,,46
02/07/2011,8,8,8,8,,32
02/08/2011,12,6,12,12,,42
02/09/2011,13,8,9,18,,48
02/10/2011,12,5,11,15,,43
02/11/2011,10,4,6,8,,28
02/12/2011,22,8,11,10,,51
02/13/2011,22,7,18,15,,62
02/14/2011,12,9,11,7,,39
02/15/2011,12,9,11,17,,49
02/16/2011,13,15,10,12,,50
02/17/2011,11,6,8,14,,39
02/18/2011,13,5,12,12,,42
02/19/2011,9,15,10,13,,47
02/20/2011,17,6,8,13,,44
02/21/2011,24,5,11,18,,58
02/22/2011,11,2,9,9,,31
02/23/2011,15,4,11,15,,45
02/24/2011,12,12,12,10,,46
02/25/2011,8,5,9,14,,36
02/26/2011,15,10,10,13,,48
02/27/2011,11,9,8,12,,40
02/28/2011,9,6,8,17,,40
03/01/2011,22,4,12,20,,58
03/02/2011,20,5,17,17,,59
03/03/2011,10,3,9,10,,32
03/04/2011,12,8,17,9,,46
03/05/2011,15,8,9,9,,41
03/06/2011,17,7,15,12,,51
03/07/2011,18,10,17,14,,59
03/08/2011,15,9,11,8,,43
03/09/2011,10,8,8,10,,36
03/10/2011,9,12,14,7,,42
03/11/2011,16,7,12,13,,48
03/12/2011,15,11,6,12,,44
03/13/2011,13,10,8,16,,47
03/14/2011,17,11,14,6,,48
03/15/2011,18,7,14,22,,61
03/16/2011,13,8,9,7,,37
03/17/2011,9,6,15,13,,43
03/18/2011,11,10,21,11,,53
03/19/2011,15,6,10,14,,45
03/20/2011,20,6,12,13,,51
03/21/2011,22,7,10,11,,50
03/22/2011,13,11,10,10,,44
03/23/2011,7,5,13,7,,32
03/24/2011,5,4,13,18,,40
03/25/2011,12,5,7,12,,36
03/26/2011,7,3,6,13,,29
03/27/2011,11,9,14,15,,49
03/28/2011,9,6,5,12,,32
03/29/2011,5,1,4,9,,19
03/30/2011,7,4,9,6,,26
03/31/2011,10,5,13,11,,39
04/01/2011,16,5,10,8,,39
04/02/2011,16,6,9,11,,42
04/03/2011,16,6,4,11,,37
04/04/2011,9,8,14,11,,42
04/05/2011,8,8,8,11,,35
04/06/2011,6,9,10,11,,36
04/07/2011,13,10,14,11,,48
04/08/2011,5,7,10,8,,30
04/09/2011,17,4,14,11,,46
04/10/2011,17,7,19,19,,62
04/11/2011,13,8,13,22,,56
04/12/2011,11,4,15,9,,39
04/13/2011,18,10,20,18,,66
04/14/2011,13,6,12,14,,45
04/15/2011,18,6,11,15,,50
04/16/2011,17,10,12,10,,49
04/17/2011,10,2,10,13,,35
04/18/2011,11,6,11,7,,35
04/19/2011,7,8,7,8,,30
04/20/2011,10,10,10,11,,41
04/21/2011,7,8,7,12,,34
04/22/2011,9,6,10,9,,34
04/23/2011,6,13,13,14,,46
04/24/2011,12,4,6,15,,37
04/25/2011,14,7,11,10,,42
04/26/2011,10,6,5,4,,25
04/27/2011,9,4,10,9,,32
04/28/2011,10,6,8,6,,30
04/29/2011,12,8,10,7,,37
04/30/2011,10,8,9,7,,34
05/01/2011,8,7,13,10,,38
05/02/2011,15,8,12,11,,46
05/03/2011,19,8,16,11,,54
05/04/2011,16,7,12,11,,46
05/05/2011,11,8,14,12,,45
05/06/2011,12,3,16,11,,42
05/07/2011,12,5,11,11,,39
05/08/2011,14,4,15,15,,48
05/09/2011,9,7,15,14,,45
