ปี,เดือน, วัดเลียบ , คลองเตย , ยานนาวา , บางกะปิ , มีนบุรี , สมุทรปราการ , บางพลี , สามเสน , นนทบุรี , บางใหญ่ , ธนบุรี , ราษฎร์บูรณะ , บางขุนเทียน , บางเขน , บางนา , บางบัวทอง , ลาดกระบัง , นวลจันทร์ ,Total
2562, ม.ค. ,"75,620","133,001","157,685","219,709","228,723","219,801","201,133","243,829","336,597","226,054","190,504","248,392","238,810","306,984","230,934","219,658","156,172","182,331","3,815,937"
2562, ก.พ. ,"75,577","133,361","157,711","220,751","229,190","221,139","201,896","244,441","338,151","227,213","191,054","248,962","239,035","307,595","231,336","220,329","156,521","182,436","3,826,698"
2562, มี.ค. ,"75,736","133,332","157,553","221,916","229,916","221,635","202,874","244,587","339,194","227,800","191,782","249,502","239,727","308,310","231,826","221,089","157,307","182,636","3,836,722"
2562, เม.ย. ,"75,756","133,205","157,438","222,581","230,821","222,193","203,273","244,556","339,207","228,716","192,117","249,931","239,787","309,540","232,543","221,643","158,075","182,853","3,844,235"
2562, พ.ค. ,"75,613","133,163","157,509","224,587","231,401","222,452","203,878","244,723","339,473","229,032","192,318","250,327","239,980","310,472","232,733","222,305","158,443","182,836","3,851,245"
2562, มิ.ย. ,"75,573","133,340","157,413","224,907","232,485","222,537","204,501","245,316","339,711","229,529","193,291","250,720","240,401","311,677","234,309","222,977","158,880","183,108","3,860,675"
2562, ก.ค. ,"75,688","133,619","157,452","225,178","232,943","222,859","205,064","244,878","340,126","230,017","193,629","250,955","240,676","312,952","235,548","223,547","159,023","183,453","3,867,607"
2562, ส.ค. ,"75,696","134,047","157,304","225,722","233,260","223,206","206,367","246,375","340,572","230,331","194,536","251,403","241,201","313,808","236,375","224,554","159,492","184,261","3,878,510"
2562, ก.ย. ,"75,738","135,412","157,588","227,043","233,468","223,586","207,027","246,400","340,765","230,731","194,673","251,781","241,332","315,260","236,575","225,135","159,767","184,801","3,887,082"
2562, ต.ค. ,"75,786","135,804","157,789","228,764","233,774","224,089","207,815","246,421","341,272","231,333","194,805","252,198","241,734","316,259","237,322","225,919","160,002","185,430","3,896,516"
2562, พ.ย. ,"76,035","136,080","158,334","231,325","234,265","224,411","208,514","246,863","341,887","231,500","194,847","252,605","242,244","317,743","238,292","226,717","160,388","185,698","3,907,748"
2562, ธ.ค. ,"76,024","136,269","158,375","231,905","234,488","224,940","209,099","247,209","342,377","232,023","194,920","253,079","242,443","318,685","239,199","227,550","160,550","186,478","3,915,613"
2563, ม.ค. ,"76,026","136,209","158,284","232,674","235,164","225,485","209,977","247,244","343,720","232,405","195,119","253,420","242,663","321,541","239,808","228,007","160,947","186,523","3,925,216"
2563, ก.พ. ,"75,977","136,345","158,397","233,638","235,615","226,078","210,646","247,062","344,137","232,707","195,587","253,766","243,097","322,316","240,649","228,696","161,243","186,462","3,932,418"
2563, มี.ค. ,"75,924","136,234","158,332","234,438","235,998","227,128","211,291","249,677","344,997","233,202","195,774","254,452","243,785","323,183","240,951","229,363","161,577","186,689","3,942,995"
2563, เม.ย. ,"75,968","136,657","158,724","236,250","236,554","227,999","212,286","253,367","345,809","233,846","196,101","255,185","244,196","324,345","241,523","230,356","162,090","187,146","3,958,402"
2563, พ.ค. ,"76,080","136,898","159,354","237,398","237,243","228,786","213,047","254,643","347,220","234,364","196,467","255,785","244,741","326,038","242,279","231,347","162,543","187,550","3,971,783"
2563, มิ.ย. ,"76,076","137,682","159,688","238,944","237,788","229,963","213,827","255,523","348,155","234,861","196,711","256,461","245,340","327,111","243,248","232,229","162,927","187,885","3,984,419"
2563, ก.ค. ,"76,115","137,808","160,093","240,402","238,301","229,962","214,494","255,921","349,114","235,322","197,143","257,095","245,824","329,586","244,998","233,151","163,361","188,109","3,996,799"
2563, ส.ค. ,"76,018","139,142","160,056","241,194","238,810","230,380","215,242","257,284","352,557","235,794","197,532","257,621","246,132","330,541","246,432","233,909","163,674","188,328","4,010,646"
2563, ก.ย. ,"76,051","139,921","160,085","242,489","239,311","230,892","215,976","258,692","353,565","236,174","198,971","258,119","247,599","331,267","246,957","234,801","164,007","188,719","4,023,596"
2563, ต.ค. ,"76,068","140,344","160,499","244,311","239,849","231,484","216,796","259,470","354,179","236,683","199,563","258,588","247,975","331,589","247,343","235,746","164,358","188,925","4,033,770"
2563, พ.ย. ,"76,071","140,676","160,650","246,491","240,184","231,850","217,274","259,604","354,546","237,049","200,683","259,088","248,270","332,943","247,603","236,307","164,596","189,598","4,043,483"
2563, ธ.ค. ,"76,205","140,872","161,013","248,618","240,585","232,731","217,814","259,933","353,769","237,445","201,257","259,453","248,655","333,855","248,198","237,073","164,912","190,575","4,052,963"
2564, ม.ค. ,"75,957","141,134","160,889","249,801","240,877","232,605","218,347","260,035","353,398","237,615","201,893","259,962","248,316","334,402","248,493","237,684","165,164","190,719","4,057,291"
2564, ก.พ. ,"75,897","140,545","160,828","250,822","241,214","232,806","218,850","259,727","353,548","237,743","202,219","260,138","248,957","334,992","248,867","237,915","165,454","190,792","4,061,314"
2564,  มี.ค.  ,"75,884","140,053","160,639","251,074","241,662","233,280","219,102","259,768","353,702","237,632","202,507","259,623","249,259","335,882","249,181","238,560","165,815","190,911","4,064,534"
2564,  เม.ย.  ,"76,165","140,214","160,505","251,547","241,947","233,532","219,101","259,787","353,788","238,016","202,694","260,270","249,204","335,596","250,014","239,148","166,024","190,932","4,068,484"
2564, พ.ค. ,"76,294","140,240","160,896","251,688","242,289","233,894","219,627","259,879","354,015","238,485","202,822","260,813","249,550","336,427","249,979","239,679","166,199","191,039","4,073,815"
2564, มิ.ย. ,"76,225","139,897","161,356","251,374","242,652","234,179","220,249","259,233","354,447","238,391","202,735","261,414","249,801","337,156","249,967","240,530","166,374","191,540","4,077,520"
2564, ก.ค. ,"76,249","139,984","161,884","251,758","242,890","234,759","220,553","259,524","354,650","238,635","203,088","261,512","249,974","337,477","250,438","240,814","166,427","191,573","4,082,189"
2564, ส.ค. ,"76,238","140,095","162,290","252,311","242,942","235,139","221,139","260,102","355,075","238,989","203,838","261,901","250,280","338,032","252,248","241,608","166,712","191,773","4,090,712"
2564, ก.ย. ,"76,217","140,285","162,517","252,540","243,004","235,514","221,672","259,430","354,502","239,503","204,634","262,185","250,547","338,176","252,937","242,384","166,640","191,013","4,093,700"
2564, ต.ค. ,"76,203","140,270","162,201","251,957","242,899","235,723","222,189","260,298","354,297","239,852","205,225","262,683","250,902","338,276","253,527","243,274","166,913","191,043","4,097,732"
2564, พ.ย. ,"76,211","140,229","162,273","252,613","243,324","235,823","222,747","260,192","354,708","240,021","205,369","263,027","251,212","339,491","253,813","243,837","167,111","191,052","4,103,053"
2564, ธ.ค. ,"76,498","140,126","162,439","253,206","243,736","236,331","223,393","260,173","355,315","240,748","205,234","263,482","251,433","339,810","254,605","244,537","167,329","191,084","4,109,479"
2565, ม.ค. ,"76,413","140,173","162,401","253,446","243,873","236,885","223,597","260,625","355,896","240,516","204,899","263,639","251,438","340,210","254,671","244,602","167,454","190,406","4,111,144"
2565, ก.พ. ,"76,347","140,034","162,458","253,684","244,200","239,383","224,032","261,797","355,606","240,902","204,969","263,809","251,046","341,700","254,847","245,226","167,434","190,365","4,117,839"
2565, มี.ค. ,"76,272","140,104","163,166","253,947","244,443","239,527","224,754","261,651","354,810","240,974","205,340","264,021","250,860","341,943","254,932","245,699","167,436","190,307","4,120,186"
2565, เม.ย. ,"76,135","140,190","164,810","255,813","244,681","240,141","224,795","262,348","354,632","241,199","205,561","264,305","251,071","343,012","255,404","246,353","167,704","190,368","4,128,522"
2565, พ.ค. ,"76,081","140,130","164,912","255,525","244,812","240,564","225,436","264,356","354,636","241,766","205,916","264,619","251,269","342,777","255,589","246,934","167,708","190,393","4,133,423"
2565, มิ.ย. ,"76,060","139,981","165,136","255,590","245,070","240,788","225,609","264,253","354,468","244,195","206,376","264,963","251,463","342,900","255,811","247,602","167,986","190,344","4,138,595"
2565, ก.ค. ,"76,033","140,304","165,426","255,717","245,294","241,356","226,096","264,315","354,789","244,475","206,398","265,341","251,646","342,991","256,240","248,007","168,365","190,342","4,143,135"
2565, ส.ค. ,"76,040","140,243","166,001","256,546","245,316","241,161","226,702","264,344","356,658","244,817","206,322","265,747","251,870","343,621","256,601","248,614","168,987","190,502","4,150,092"
2565, ก.ย. ,"76,071","140,514","166,479","257,093","245,540","241,511","227,427","265,912","358,054","244,998","206,775","266,107","252,012","343,629","256,742","249,389","169,972","190,628","4,158,853"
2565, ต.ค. ,"76,064","140,668","166,881","257,955","245,870","241,641","228,010","266,300","357,960","245,180","207,233","266,345","251,956","344,055","256,666","249,723","170,160","190,595","4,163,262"
